Metric Type,Original Model,Fine-tuned Model,% Change
ROUGE1 Precision,0.359989,0.28638,-25.7032614
ROUGE1 Recall,0.242198,0.301483,19.66445869
ROUGE1 F1,0.259868,0.283152,8.223145166
ROUGE2 Precision,0.134074,0.09979,-34.35614791
ROUGE2 Recall,0.095576,0.104801,8.802396924
ROUGE2 F1,0.099872,0.098446,-1.448509843
ROUGEL Precision,0.280423,0.209578,-33.80364351
ROUGEL Recall,0.180915,0.224109,19.27365702
ROUGEL F1,0.195416,0.208733,6.37992076
BERTScore,0.855855,0.859697,0.446901641
FactScore,0.058122,0.062552,7.082107686
