Metric Type,Original Model,PEFT Model,% Change
ROUGE1 Precision,0.359989,0.291369,-19.06169355
ROUGE1 Recall,0.242198,0.330883,36.61673507
ROUGE1 F1,0.259868,0.297831,14.60857051
ROUGE2 Precision,0.134074,0.108722,-18.90896072
ROUGE2 Recall,0.095576,0.123228,28.93194944
ROUGE2 F1,0.099872,0.110849,10.99106857
ROUGEL Precision,0.280423,0.211787,-24.47588108
ROUGEL Recall,0.180915,0.243517,34.60299035
ROUGEL F1,0.195416,0.217488,11.29487862
BERTScore,0.855855,0.86115,0.618679566
FactScore,0.596414,0.676501,13.42808854
BLEU Score,0.058122,0.071788,23.5126114
